URL,Nombre,Mitología,Clase
https://es.wikipedia.org/wiki/Bachu%C3%A9,Bachué,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Bochica,Bochica,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Bulumia,Bulumia,Mitología americana,Deidad
https://es.wikipedia.org/wiki/%C4%8C%C3%A9nuke,Čénuke,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Chaotroquin,Chaotroquin,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Chaquen,Chaquen,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Ch%C3%ADa_(mitolog%C3%ADa),Chía,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Chin_(deidad),Chin,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Dios_de_los_b%C3%A1culos,Dios de los báculos,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Duk%C3%BAr_Bulu,Dukúr Bulu,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Ekeko,Ekeko,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Gluskap,Gluskap,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Huiracocha_(dios),Huiracocha,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Inkarri,Inkarri,Mitología americana,Deidad
https://es.wikipedia.org/wiki/K%C3%A9nos,Kénos,Mitología americana,Deidad
https://es.wikipedia.org/wiki/K%C3%B3och,Kóoch,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Kren,Kren,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Kuy%C3%A9n,Kuyén,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Kw%C3%A1nyip,Kwányip,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Makeur_Siau,Makeur Siau,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Manitu,Manitu,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Mar%C3%ADa_Lionza,María Lionza,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Namaitam%C3%AD,Namaitamí,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Ngenech%C3%A9n,Ngenechén,Mitología americana,Deidad
https://es.wikipedia.org/wiki/%C3%91amand%C3%BA,Ñamandú,Mitología americana,Deidad
https://es.wikipedia.org/wiki/%C3%93bena,Óbena,Mitología americana,Deidad
https://es.wikipedia.org/wiki/%C3%93gama,Ógama,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Ol%C3%B3bas%C3%A1,Olóbasá,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Sakabiali,Sakabiali,Mitología americana,Deidad
https://es.wikipedia.org/wiki/S%C3%A9rike,Sérike,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Shul%C3%A1kama,Shulákama,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Sib%C3%BA,Sibú,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Sul%C3%A1,Sulá,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Sul%C3%A1ra,Sulára,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Tal%C3%A1_Yekela,Talá Yekela,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Tem%C3%A1ukel,Temáukel,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Tezcatlipoca,Tezcatlipoca,Mitología americana,Deidad
https://es.wikipedia.org/wiki/T%C3%ADo_Pachamama,Tío Pachamama,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Tonantzin,Tonantzin,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Venus_de_Tacarigua,Venus de Tacarigua,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Watauinewa,Watauinewa,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Wintek,Wintek,Mitología americana,Deidad
https://es.wikipedia.org/wiki/Men_(dios),Men,Mitología anatolia,Deidad
https://es.wikipedia.org/wiki/Basldseg,Basldseg,Mitología anglosajona,Dios
https://es.wikipedia.org/wiki/Casere,Casere,Mitología anglosajona,Dios
https://es.wikipedia.org/wiki/Nerthus,Nerthus,Mitología anglosajona,Dios
https://es.wikipedia.org/wiki/Saxnot,Saxnot,Mitología anglosajona,Dios
